Time (minutes),Scaled constriction level
0,0
3.192662581,0.007125799
3.678899951,0.172253086
5.660661106,0.307960577
9.456345303,0.404935248
14.1659761,0.47804097
18.89758243,0.536981399
23.64017652,0.588839181
28.40337267,0.627417
33.17206271,0.662453497
37.92358436,0.708556628
42.6689254,0.758643749
47.42937461,0.79899223
52.19737791,0.834471392
56.99422409,0.851358606
61.7759621,0.87798446
66.57486849,0.893543678
71.36484732,0.914857547
76.16375371,0.930416765
80.97021418,0.941106664
85.77118078,0.955337886
90.58588208,0.960715799
95.3950895,0.969635036
100.2042969,0.978554274
105.0238054,0.98083353
109.8295791,0.991966094
114.64016,1
119.4933185,0.980588651
124.3560912,0.954979986
129.2332855,0.920075347
134.1022389,0.890482694
138.9711922,0.86089004
143.8511334,0.82421474
148.6994847,0.807902049
153.5540167,0.787605368
158.3968741,0.774834
163.243852,0.75940664
168.0784686,0.751947257
172.9302536,0.733421239
177.7744845,0.71976454
182.6111614,0.71097716
187.4498984,0.700861785
192.2906957,0.689418413
197.1308062,0.678417707
201.9688565,0.668744996
206.8096537,0.657301625
211.6463305,0.648514245
216.4860977,0.637734872
221.3244914,0.627840829
226.1639151,0.617282788
230.9896042,0.615578055
235.8297147,0.604577349
240.667765,0.594904639
245.5037551,0.586559925
250.3308176,0.583969861
255.1681812,0.574739816
260.0014244,0.568165764
264.8291736,0.565133035
269.6665372,0.55590299
274.4997804,0.549328938
279.3330235,0.542754886
284.1648932,0.537066164
288.991269,0.534918766
293.8293193,0.525246056
298.6543216,0.523983989
303.4903117,0.515639275
308.3146273,0.514819873
313.1471837,0.508688486
317.9763065,0.504770426
322.803369,0.502180363
327.6338652,0.497376972
332.4609278,0.494786908
337.2900505,0.490868849
342.1241864,0.483719331
346.9448623,0.485246056
351.7746718,0.480885331
356.594867,0.482721921
361.4212428,0.480574523
366.2524257,0.475328467
371.0746811,0.475837061
375.8976233,0.47590299
380.7226256,0.474640923
386.0036202,0.46207676
390.8238153,0.463913351
395.6501911,0.461765952
400.4703863,0.463602543
405.3063764,0.455257829
410.1293186,0.455323758
414.9605015,0.450077702
419.7758895,0.45501295
424.5995184,0.454636214
429.4204003,0.456030139
434.2508965,0.451226748
438.853534,0.451985872